"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"307","Oldham","1602","758","844","700.28194872467384","674.0174284189934","725.67817376724986",2016
"308","Rochdale","1566","690","876","735.34245546153772","659.25246503095616","808.87920367873835",2016
"309","Salford","4497","1576","2921","1857.9573624194347","1296.3084819372245","2424.7908088723602",2016
"317","Sefton","2910","1071","1839","1063.864790462507","816.15545818251098","1292.2856379913705",2016
"318","St Helens","2110","804","1306","1190.8255638079329","924.33979834676529","1447.7812143181793",2016
"310","Stockport","2340","894","1445","816.02761939634888","637.27412054032857","986.55014678773819",2016
"311","Tameside","2205","714","1491","998.77248370483437","658.2040432534086","1327.7646178780701",2016
"312","Trafford","1490","528","962","640.97600426743759","463.38552271291161","811.71844676578291",2016
"322","Warrington","1297","633","664","628.30623752591703","618.12784407163645","638.32650785410783",2016
"313","Wigan","3700","1375","2325","1152.7377521613832","863.24882912067903","1437.9101136103604",2016
"319","Wirral","9286","3517","5769","2893.6101260773917","2273.6235107022567","3470.5553249472109",2016
"D","Yorkshire and the Humber","47064","13926","33132","878.05527845288839","527.21961502291958","1218.7052048040498",2016
"204","Barnsley","881","375","506","370.41241491235814","319.7285291635049","419.7219549421016",2016
"210","Calderdale","1411","423","988","680.40660442867068","416.24435413243066","934.2524561950961",2016
"209","Cityof Bradford","10070","3081","6989","1906.6372561085288","1183.8389272060094","2608.8092571855173",2016
"205","Doncaster","1244","506","736","408.96165162647731","336.0295387230878","479.15730812549231",2016
"214","East Riding of Yorkshire","1716","495","1221","509.02511012562479","299.69848516038411","710.09427213883191",2016
"215","Kingston-upon-Hull","1277","286","991","495.51821815218659","221.15682029075165","771.86696783238574",2016
"211","Kirklees","3574","915","2659","829.19586098092907","429.24897848125613","1220.5253905084528",2016
"212","Leeds","6453","1736","4715","841.98961637476032","461.697215987064","1207.7511238617299",2016
"216","North East Lincolnshire","2058","506","1552","1287.8275887962754","645.52343530732526","1906.212385467587",2016
"217","North Lincolnshire","1033","226","806","610.35055274244155","270.37697249572301","940.92925519495668",2016
"218","North Yorkshire","4749","1763","2985","789.47893392914136","595.53970152077125","977.08034644617715",2016
"206","Rotherham","2109","641","1468","810.93551736071061","501.65522746660196","1109.6581073828547",2016
"207","Sheffield","3809","903","2906","675.65530049720712","323.02491548766744","1022.5049612250355",2016
"213","Wakefield","5006","1536","3470","1510.6569818847904","943.63964760956901","2058.0647074523295",2016
"219","York","1674","534","1140","818.82615352256664","534.5291838920532","1090.5125408942204",2016
"E","East Midlands","34839","11451","23381","751.25937672577368","500.46720761937394","995.21101785131293",2016
"507","Derby","2658","325","2333","1052.8275430459116","259.92722037829407","1830.8378064475626",2016
"506","Derbyshire","6902","1959","4941","885.0942031587424","511.34539436763094","1245.5350053063169",2016
"509","Leicester","1188","443","745","351.8404989737985","264.74314536370804","437.40936232173368",2016
"508","Leicestershire","2603","993","1610","389.72608379934275","300.44749430420535","477.18125181536351",2016
"503","Lincolnshire","5911","2257","3652","808.04794426916158","631.79876495518351","975.73487370485361",2016
"504","Northamptonshire","4099","1623","2475","573.77462233619633","460.79416724869253","683.37318526454135",2016
"512","Nottingham","3782","1109","2673","1203.4314661371823","698.83359694504486","1718.1423750602603",2016
"511","Nottinghamshire","7592","2688","4902","947.35397247282845","681.57268840870017","1204.3989307335482",2016
"510","Rutland","104","54","50","273.52585345326389","276.15833077631174","270.73857483214209",2016
"F","West Midlands","54212","16465","37744","948.87633802205517","582.97940894775138","1306.4732801915127",2016
"406","Birmingham","9265","1994","7271","841.23265780489567","366.82732992383825","1303.5605435834918",2016
"407","Coventry","5281","1572","3708","1565.0746233270504","928.56763126650242","2205.3706842715674",2016
